student_id_hash,institution_type,faculty,department,level,entry_mode,age,sex,state_of_origin,residency_status,socioeconomic_band,utme_score,post_utme_score,entry_qualification,prev_semester_gpa,cumulative_cgpa,carryover_courses_count,failed_courses_prev_semester,core_courses_failed_total,course_load_units,continuous_assessment_avg,attendance_rate,library_visits_per_month,lms_logins_per_week,assignment_submission_rate,late_registration_flag,financial_clearance_delay_days,disciplinary_case_flag,counselling_visits_semester,medical_leave_flag,performance_risk
3212b5f58bec4361baad70e3d40c9b75,State,Management Sciences,Accounting,300,UTME,18,Female,Bauchi,OnCampus,Middle,207,59.4,SSCE,2.93,2.81,1,0,2,25,40.0,0.48,4,5,0.81,1,1,0,0,0,0
76c1bb30d842496f98abca6aadb160de,State,Management Sciences,Business Administration,300,UTME,19,Male,Delta,OffCampus,Low,192,62.7,SSCE,2.35,2.21,2,3,3,21,31.7,0.5,4,3,0.68,0,3,0,0,0,1
f57fe1deb55f46e7aaf534188484d269,Federal,Social Sciences,Political Science,200,UTME,19,Male,Niger,OffCampus,Middle,214,55.7,SSCE,3.67,2.85,1,0,1,21,40.0,0.58,2,7,0.68,0,1,0,0,0,0
ce0772b79adb45ffb364bcfee1a5e2e0,Federal,Social Sciences,Psychology,300,UTME,20,Male,Ondo,OnCampus,Low,259,59.3,SSCE,3.77,3.46,1,0,1,22,40.0,0.72,1,7,0.54,1,7,0,0,0,0
cbf1cf0ce47d43929aeac8896dfbac85,Federal,Sciences,Physics,100,DirectEntry,18,Female,Kebbi,OnCampus,Low,167,58.4,Alevel,3.22,2.93,2,0,3,24,40.0,0.59,2,4,0.69,1,3,0,0,0,0
a461da1b808047f5b6f89e7719dd17aa,Private,Management Sciences,Business Administration,400,UTME,22,Female,Delta,OnCampus,Low,232,62.0,SSCE,2.63,2.62,2,0,5,19,40.0,0.6,4,4,0.6,0,4,0,0,0,0
e0e0462f47f3446cab41a0339f66763d,State,Engineering,Chemical Engineering,200,UTME,20,Male,Katsina,OffCampus,Middle,268,61.9,SSCE,2.42,2.57,1,0,3,26,38.4,0.59,5,3,0.5,0,1,0,0,0,0
4b582314bb35442d8af81cbdd5b0c6b3,Federal,Management Sciences,Business Administration,200,DirectEntry,23,Female,Abia,OffCampus,Middle,214,70.0,ND,3.14,2.66,0,0,0,28,40.0,0.53,3,5,0.55,0,2,0,0,0,0
5acf868c8bcd45628bfe5a26ae992ba4,Federal,Social Sciences,Economics,400,UTME,20,Male,Lagos,OffCampus,Low,201,64.3,SSCE,3.4,3.17,1,2,1,16,39.9,0.57,4,5,0.78,1,3,0,0,0,0
782097d4d8f8485cb6cb13b8bea8b304,State,Sciences,Physics,300,DirectEntry,22,Male,Lagos,OffCampus,Middle,252,69.0,ND,3.39,3.68,0,0,0,18,40.0,0.59,9,8,0.9,0,2,0,1,0,0
1fa7b5695f00424ea25986f36f8cb5d0,Federal,Sciences,Physics,200,UTME,19,Male,Abia,OnCampus,Middle,186,61.9,SSCE,3.18,3.02,2,1,3,22,40.0,0.73,3,3,0.52,0,0,0,0,0,0
